POSIX,source,app,x_x0,y_y0,t_t0
1491041037,41,2,0.056150467,0.042687147,0
1491042427,152,2,-0.022309284,0.017640236,0
1491054994,122,2,-0.009330368,0.067480395,0
1491055226,151,2,-0.028022596,-0.153250005,1
1491065359,24,2,0.022336319,-0.107381427,0
1491071200,37,2,-0.084395951,-0.062983597,0
1491130078,107,2,-0.096992871,0.029979657,3
1491146992,77,2,-0.051888797,-0.151633781,1
1491153318,129,2,0.005469163,0.075330038,2
1491153616,121,2,-0.004689568,-0.057862663,0
1491157155,32,2,0.152101854,0.038050036,0
1491163312,135,2,0.108627737,-0.060050973,0
1491163455,145,2,-0.123111432,0.088960785,0
1491207167,118,2,0.134285602,0.092946569,1
1491207448,64,2,0.014005434,0.108150869,0
1491207566,120,2,-0.125975588,-0.06594459,0
1491207702,8,2,-0.017758913,0.032717238,0
1491216152,74,2,0.082218171,0.183179504,0
1491216935,122,2,-0.128395233,-0.160543619,0
1491217203,135,2,-0.034579289,0.019980406,1
1491221176,48,2,-0.255723533,-0.043376418,0
1491222755,102,2,-0.157232321,0.104595291,1
1491227008,110,2,0.19981489,0.105843552,2
1491236437,63,2,0.066669198,-0.049475319,0
1491238574,20,2,0.027316706,0.104609558,0
1491239848,45,2,0.006042925,0.008062485,0
1491241392,32,2,0.079134675,0.085474043,3
1491241715,92,2,0.031643387,-0.018199572,0
1491243146,41,2,-0.107308672,-0.037217369,1
1491293326,41,2,0.105903072,-0.142723254,1
1491293414,55,2,0.150149794,0.056149713,0
1491293663,27,2,-0.306327513,-0.00659715,0
1491295202,51,2,-0.044221246,-0.183372147,1
1491296553,66,2,-0.124261982,-0.018764903,0
1491303642,30,2,0.068326087,-0.053110321,1
1491311159,38,2,0.083050693,-0.100712223,1
1491316072,62,2,0.021518003,-0.0998427,0
1491316417,66,2,-0.050775471,0.087546677,0
1491325206,138,2,-0.069167938,0.087405793,1
1491326228,85,2,-0.05514747,0.093771869,1
1491331750,18,2,-0.048311704,0.14373332,0
1491333550,5,2,-0.160046573,0.037079467,1
1491380348,60,2,-0.013428712,-0.001750983,0
1491386899,152,2,0.098147082,0.006620412,1
1491388730,131,2,0.104855095,-0.046185295,0
1491389474,62,2,-0.025275628,-0.010326128,4
1491391227,17,2,0.008006809,0.079096717,0
1491393098,151,2,0.007345044,0.107649611,1
1491397657,138,2,0.065065068,-0.084782941,0
1491406557,119,2,0.013329202,0.04078518,0
1491407597,44,2,-0.10336184,-0.183594468,0
1491412668,130,2,-0.066871671,0.165130122,0
1491412793,72,2,-0.090381611,0.158590129,3
1491413874,7,2,-0.101447378,-0.059312592,2
1491414667,75,2,-0.005633805,0.130808349,0
1491470666,9,2,-0.109462145,0.053132038,0
1491480557,76,2,-0.149817979,0.05074015,0
1491484712,119,2,0.080636979,0.001531594,0
1491486086,32,2,-0.184449975,-0.004907645,0
1491489034,104,2,0.012816749,-0.109820842,0
1491489164,154,2,0.142681852,-0.047154827,1
1491491576,149,2,-0.175380862,0.023250434,1
1491496214,6,2,-0.046300318,-0.150556513,0
1491498311,150,2,0.145339018,-0.075551692,0
1491503737,114,2,-0.153210132,0.11739559,5
1491503806,44,2,0.010843489,0.113796853,0
1491506737,75,2,0.049510803,0.004314732,0
1491509847,126,2,-0.094963348,-0.038876698,1
1491510664,2,2,0.120105443,-0.054665481,0
1491552778,7,2,0.016421167,-0.076881442,1
1491556819,20,2,0.085978565,-0.051518281,0
1491561004,152,2,-0.024354175,0.086922794,0
1491561649,77,2,-0.049773985,0.077626915,1
1491565766,42,2,-0.163031454,-0.034924277,5
1491576501,66,2,0.084983668,0.011328593,1
1491578367,7,2,-0.220269189,0.157927574,0
1491580904,18,2,0.13247802,0.00693613,1
1491581084,99,2,-0.001579365,0.099837339,0
1491581663,58,2,0.026976731,0.080509483,0
1491586880,153,2,-0.053385968,-0.012583403,1
1491588835,7,2,0.01050944,-0.123264029,1
1491590813,21,2,0.063124608,-0.072506529,0
1491591755,85,2,-0.027753186,-0.067392091,0
1491650808,78,2,-0.104033318,-0.169640322,0
1491727836,78,2,-0.062484016,0.136816903,1
1491728156,126,2,-0.181470244,0.060574261,0
1491746202,62,2,-0.192443331,0.085837408,1
1491750854,144,2,-0.10743171,0.047145883,3
1491753990,91,2,0.099907418,0.115105265,0
1491757523,152,2,0.068712242,0.136488976,0
1491763508,23,2,-0.02186827,-0.004520815,2
1491765451,129,2,-0.143720091,0.118352919,0
1491768049,24,2,0.004976519,0.132061846,0
1491815410,90,2,0.025757722,0.047195014,0
1491816496,65,2,0.018659899,-0.169180473,0
1491822237,29,2,0.05608813,0.182645588,0
1491831635,63,2,-0.093732047,0.024377748,2
1491839598,5,2,-0.054620493,0.127107,1
1491842005,38,2,-0.066932835,-0.023493079,0
1491845756,23,2,-0.062717175,0.081146789,0
1491846093,53,2,0.00659289,-0.123368394,0
1491848841,152,2,-0.039096897,-0.012821145,0
1491853267,88,2,-0.085943119,-0.131370759,0
1491856434,94,2,0.03089783,-0.017155609,1
1491856744,51,2,-0.075551806,-0.024105716,1
1491856919,37,2,-0.119369088,-0.074435237,0
1491857018,38,2,-0.014756291,0.143467812,0
1491898098,153,2,-0.011727756,-0.113871197,0
1491898756,48,2,0.026323439,-0.092919733,0
1491898788,13,2,-0.092787866,-0.106843685,0
1491902431,143,2,-0.060139396,-0.021036,0
1491909706,141,2,-0.248206749,0.134802964,4
1491910381,145,2,-0.009764557,-0.064400884,0
1491915206,36,2,-0.066422081,0.012855789,0
1491922356,64,2,0.040656026,0.023240324,0
1491924308,73,2,-0.164404788,-0.093839597,0
1491925976,56,2,0.113703226,-0.017422996,0
1491926386,23,2,-0.004739183,-0.054199758,0
1491929027,38,2,0.065990284,-0.000448986,0
1491929118,120,2,-0.128947721,-0.054886977,0
1491937619,55,2,-0.116377571,-0.012960987,0
1491987539,17,2,-0.071725613,0.027789494,0
1491988074,53,2,-0.047117009,-0.122982039,1
1491991727,63,2,0.037941165,0.074804203,1
1491991926,53,2,0.117488464,0.034856034,0
1491993322,6,2,-0.114450026,-0.189140858,1
1491993908,41,2,-0.109085698,-0.051100573,0
1491994856,126,2,-0.019054995,-0.110126237,1
1491999273,34,2,0.154751181,-0.022806982,1
1492002600,63,2,0.03006448,-0.204031215,2
1492006042,10,2,-0.144142037,0.044121849,0
1492012774,11,2,0.072695484,-0.170364799,1
1492018507,81,2,-0.009229433,0.119717972,0
1492023412,133,2,0.193844757,0.008131666,1
1492026967,87,2,0.121690987,0.093481593,0
1492030753,133,2,0.206339719,-0.000118898,0
1492072573,132,2,0.0197909,0.028670216,1
1492073822,6,2,-0.0190949,-0.064129134,5
1492075635,31,2,0.01421301,-0.174368317,0
1492076145,154,2,0.011377538,-0.113349347,0
1492079153,121,2,-0.097196246,-0.018729265,0
1492082573,60,2,-0.019029135,-0.015655666,2
1492083334,35,2,0.103499277,0.079320179,0
1492084610,117,2,-0.090649494,-0.113776924,1
1492086001,127,2,-0.014107855,-0.141434779,3
1492090752,32,2,-0.05435738,-0.143423597,0
1492092240,54,2,0.082071133,-0.119506167,0
1492099032,149,2,0.105559043,-0.07949547,0
1492100982,39,2,-0.087893747,-0.045424032,0
1492106271,144,2,0.092952384,-0.204065263,1
1492107256,58,2,-0.006821341,-0.10631471,0
1492163232,18,2,-0.118877175,-0.036435711,0
1492164551,55,2,0.09058194,0.088211061,1
1492167578,7,2,0.075970126,0.022301056,5
1492168907,124,2,0.015780546,-0.122169419,3
1492175570,68,2,0.001446861,-0.010729848,1
1492177133,19,2,0.068043896,0.107101742,0
1492182463,7,2,0.152656805,-0.052505965,0
1492187217,24,2,0.058458937,-0.005124533,1
1492191648,142,2,0.018925795,-0.020103816,0
1492192930,121,2,-0.041783002,-0.069813005,0
1492193853,76,2,-0.090182352,0.078624351,0
1492194666,73,2,0.153912623,0.038803436,0
1492200879,7,2,-0.001853269,0.006692541,0
1492201500,21,2,-0.023757834,0.064626099,0
1492243259,57,2,0.033033245,-0.096688731,1
1492249681,118,2,-0.137692583,-0.104681592,0
1492261131,97,2,-0.047402927,0.007576139,1
1492261263,13,2,0.102534379,0.071772771,0
1492281478,39,2,0.033608467,0.102575461,1
1492287478,128,2,0.115663908,0.116726345,0
1492331243,63,2,-0.061167721,-0.053735108,0
1492349804,65,2,0.118391504,-0.088239797,1
1492351315,60,2,-0.07225003,-0.007961793,2
1492353896,48,2,-0.15359516,0.068124502,1
1492370876,126,2,0.113798264,0.112390513,0
1492373069,28,2,0.030669899,-0.107674114,0
1492417985,67,2,-0.033137711,0.053342007,1
1492423721,117,2,0.169942624,0.04827332,0
1492427075,96,2,0.059916361,-0.074434002,2
1492430401,17,2,-0.145940004,0.049014425,0
1492430962,35,2,0.051303831,0.137517487,1
1492433601,3,2,-0.01833207,-0.07294524,2
1492441473,106,2,0.175182241,0.023525216,2
1492444571,37,2,0.147988096,0.206843337,2
1492445125,31,2,0.056461508,0.180548523,1
1492449452,72,2,-0.028665508,0.055715808,0
1492450368,106,2,0.013875568,-0.050486762,0
1492451368,130,2,0.009986612,0.05221488,0
1492452373,83,2,-0.031318831,-0.199155892,0
1492452699,50,2,0.248010177,-0.202572789,1
1492454182,90,2,-0.003791392,0.045225097,1
1492455425,104,2,0.118747925,0.081478045,0
1492459776,153,2,0.043198697,0.133811045,1
1492460927,88,2,0.144835577,0.089065919,0
1492462256,55,2,-0.064799498,0.221664761,0
1492505155,148,2,0.097396315,-0.179105766,0
1492509554,41,2,0.050577107,-0.221998446,0
1492513806,57,2,-0.238004732,-0.128120829,0
1492516025,66,2,0.052980417,0.125113867,0
1492516086,94,2,-0.024982274,-0.019658846,0
1492516511,19,2,-0.110188802,0.013333847,0
1492516597,6,2,-0.023636532,0.159052854,1
1492520974,131,2,-0.046373277,0.128411719,0
1492526160,152,2,-0.000520416,-0.165273211,1
1492526236,21,2,0.055465348,0.02278758,0
1492529482,141,2,0.075462734,-0.135988521,0
1492530515,48,2,0.073610821,-0.048633143,0
1492533818,24,2,0.015491931,0.01036918,0
1492535519,4,2,0.071742473,0.192963371,0
1492544878,103,2,-0.029953275,-0.071524575,0
1492590404,120,2,0.071548332,0.111323946,0
1492590500,132,2,0.02555483,-0.148362061,0
1492593047,38,2,-0.101944425,-0.057109249,0
1492594786,56,2,0.030563314,-0.10632404,1
1492595146,68,2,0.111922104,-0.016911637,0
1492596683,150,2,-0.035020277,0.005918836,0
1492596750,133,2,-0.08529611,0.028808131,0
1492601618,150,2,-0.023125681,-0.096934779,0
1492615581,13,2,0.083078311,-0.101919382,1
1492615640,118,2,-0.158538458,0.288644036,0
1492616452,131,2,0.186912754,0.137821398,3
1492617805,69,2,0.067668638,0.12811759,1
1492618789,151,2,0.047874764,0.005762403,0
1492622863,87,2,-0.070775978,-0.00122807,1
1492622936,104,2,0.093149999,-0.160003981,0
1492625167,23,2,-0.036801673,-0.025178992,0
1492631183,129,2,-0.02531904,0.155625226,1
1492633205,91,2,-0.061329347,0.078637302,0
1492679637,57,2,0.076889774,0.007942884,1
1492679692,80,2,-0.015127393,-0.190484596,0
1492684468,52,2,0.021075957,0.136306495,0
1492685616,133,2,-0.013301537,-0.017286276,1
1492687667,35,2,-0.103037309,-0.137366785,1
1492690662,124,2,-0.08109934,-0.169929273,1
1492696977,12,2,-0.104001685,-0.101275581,0
1492698610,58,2,-0.082441335,-0.054634194,0
1492699922,10,2,0.056764777,0.051271415,0
1492701035,121,2,-0.033950094,-0.140775798,0
1492705023,41,2,-0.053281999,0.167426824,1
1492711456,124,2,0.076523593,-0.117137839,0
1492716703,91,2,-0.058170853,0.159274952,1
1492717679,107,2,-0.064577903,0.011877255,0
1492718838,20,2,-0.158109106,-0.025733411,2
1492762635,78,2,-0.081758833,-0.058782695,0
1492764395,29,2,-0.036922459,0.058749263,0
1492776244,135,2,-0.041092059,-0.014576863,0
1492777894,124,2,0.033277856,-0.066729769,0
1492780033,59,2,-0.136998679,-0.093447393,1
1492780768,28,2,-0.125304763,-0.160465693,0
1492783499,40,2,0.059406827,-0.052648034,1
1492783992,118,2,-0.011999364,-0.095807286,0
1492790437,44,2,-0.019357195,-0.127031133,0
1492796709,81,2,0.144319672,0.035271253,0
1492798639,44,2,0.00489766,-0.046844434,0
1492804723,35,2,-0.009483743,-0.00164475,0
1492807529,91,2,0.080259811,0.003689812,0
1492849485,93,2,0.169517877,-0.162157767,0
1492851007,50,2,-0.191384979,-0.069419128,0
1492863963,28,2,-0.025285564,-0.058553283,0
1492868888,143,2,-0.083434161,0.102056947,0
1492876196,143,2,0.238617362,-0.034046056,0
1492879863,23,2,0.117088876,0.076390537,1
1492885262,96,2,-0.103120276,-0.01755951,0
1492940525,10,2,-0.010718483,-0.035893422,1
1492944865,42,2,0.077954887,-0.088026824,0
1492948838,20,2,-0.135088354,0.019664789,1
1492949655,53,2,0.018389194,-0.052467517,1
1492956372,2,2,0.08822546,-0.052974292,0
1492969931,26,2,0.016527322,-0.059992101,0
1492974728,5,2,-0.093976767,-0.137278345,1
1493021659,63,2,-0.113161857,0.004886417,0
1493028777,42,2,-0.049439444,0.163948348,1
1493029755,110,2,-0.197146237,0.012275385,0
1493033583,134,2,0.01905678,0.0343735,0
1493034095,75,2,-0.172415476,-0.07441204,0
1493037885,132,2,0.151233154,-0.021195089,1
1493046813,40,2,-0.124442316,0.049725246,0
1493047533,20,2,0.08908441,0.036276436,1
1493049547,120,2,-0.068389027,-0.145255742,1
1493053029,49,2,0.071686439,0.187343786,1
1493056100,50,2,-0.007259893,0.028508928,1
1493057449,9,2,0.078822638,0.021116631,5
1493058367,99,2,-0.075493522,0.104379491,0
1493060129,137,2,0.024417559,0.192676441,1
1493061369,129,2,0.156716,0.113292441,4
1493064486,21,2,-0.067978098,0.003967717,1
1493066604,54,2,0.029743357,0.217186149,1
1493108135,141,2,0.054799725,0.054248952,0
1493119097,107,2,-0.099192047,-0.033079822,0
1493123246,49,2,-0.10643042,0.138804883,0
1493128731,94,2,0.14393753,-0.003172955,1
1493132407,90,2,0.133641792,9.40E-05,1
1493134718,49,2,-0.178590218,-0.024945764,0
1493136049,68,2,0.158294132,0.073793857,1
1493140762,138,2,-0.121244363,0.186363285,2
1493141145,88,2,-0.052502195,-0.172672465,0
1493143457,116,2,0.178053458,0.142487461,0
1493148087,71,2,-0.246643841,0.077123429,0
1493148141,68,2,-0.052932107,-0.073181738,0
1493150541,67,2,0.12338828,-0.025476577,1
1493193674,17,2,0.205815489,-0.068745702,1
1493193858,43,2,0.122864638,-0.025613207,3
1493196443,21,2,-0.141549668,-0.228734697,1
1493197775,26,2,0.115421626,0.019416335,0
1493204014,117,2,-0.172506701,0.042024903,0
1493204416,58,2,0.169114842,0.106259133,0
1493214341,9,2,-0.061637956,-0.096935924,0
1493216509,94,2,-0.120459558,-0.082492986,0
1493217438,128,2,0.144058303,0.041191356,0
1493218274,72,2,-0.051167946,0.03684527,1
1493221059,50,2,-0.051161873,0.042925891,1
1493221616,17,2,0.055896688,0.075800803,0
1493222733,106,2,0.046738533,-0.069247845,1
1493225562,151,2,0.073789073,0.088146726,3
1493229817,75,2,0.126397824,0.104638719,0
1493230121,89,2,-0.150363531,0.037478224,0
1493231418,81,2,0.12567131,-0.180787701,0
1493283937,65,2,0.041330566,-0.019450722,1
1493284020,72,2,-0.019605921,-0.008300733,0
1493290409,55,2,0.222471233,-0.221262429,1
1493293082,81,2,-0.144493147,-0.223196006,1
1493294252,52,2,0.053070569,-0.055980749,0
1493294531,145,2,-0.062276707,-0.041378126,2
1493301518,81,2,-0.146027268,0.041723645,1
1493307365,67,2,-0.050236942,0.022785859,1
1493315516,129,2,0.051365427,-0.121377796,0
1493322691,23,2,0.17099802,0.027376754,1
1493322704,50,2,-0.129274509,-0.015133639,1
1493324760,142,2,0.08135764,-0.102954553,0
1493372351,109,2,-0.082982278,0.02169493,0
1493374676,51,2,-0.020913583,0.128052888,0
1493377221,69,2,0.051966707,0.052779802,1
1493379813,86,2,-0.231143312,-0.043945448,0
1493381566,13,2,-0.137118267,-0.150369597,0
1493387889,30,2,0.078863193,-0.153611097,0
1493390625,116,2,-0.245149832,0.130131228,0
1493392941,59,2,-0.016301004,0.032133719,0
1493392996,55,2,-0.056496528,0.095580014,0
1493396123,127,2,0.112043537,0.271618603,2
1493397587,53,2,0.189685706,0.03582272,0
1493398183,150,2,0.135119225,-0.199424712,0
1493403438,80,2,0.041880399,-0.002942342,2
1493405756,89,2,-0.082712676,-0.06274913,0
1493411380,132,2,0.066236674,-0.166333119,1
1493412501,73,2,0.00177224,-0.000996357,3
1493457268,96,2,0.045685761,-0.118611666,0
1493474112,65,2,-0.071227528,-0.179055195,3
1493475282,4,2,-0.048612694,0.039910073,0
1493477447,55,2,0.090112374,0.009763272,0
1493495756,110,2,0.204898761,0.036819806,0
1493557094,77,2,-0.058655906,-0.081522557,1
1493566135,135,2,-0.100960139,0.205325657,1
1493567553,117,2,0.148532876,0.0694007,0
1493568953,76,2,0.041137363,0.015032042,0
1493585464,82,2,0.014687393,-0.012174723,1
1493632310,137,2,0.196338392,0.182445382,0
1493635037,128,2,-0.216107578,-0.098678746,0
1493635434,96,2,0.006774206,-0.038518683,1
1493645916,90,2,0.020237577,-0.027464204,0
1493649123,103,2,0.146891611,-0.172704926,0
1493657613,4,2,-0.035669638,0.141829754,0
1493658241,83,2,-0.077336793,-0.075287028,0
1493661965,32,2,-0.038602275,-0.092827527,1
1493667939,121,2,-0.045741938,-0.004070539,0
1493667955,67,2,-0.026035112,-0.087500489,0
1493671334,33,2,-0.096154053,-0.226946958,1
1493715732,26,2,0.012857504,-0.036866055,1
1493719637,60,2,-0.024555914,-0.010568966,1
1493719785,109,2,-0.054069099,-0.054454494,0
1493719833,2,2,-0.19154833,-0.009584346,0
1493722984,71,2,-0.140990881,-0.150692514,0
1493724235,135,2,0.064458215,0.146363956,0
1493726080,145,2,0.105889261,0.053411506,0
1493726370,111,2,0.081519459,0.039070662,0
1493726602,66,2,0.096236167,0.109938816,0
1493730656,60,2,0.068279874,0.040001187,2
1493734344,97,2,-0.13403786,0.048630637,0
1493735042,59,2,0.115562739,0.05152808,0
1493738458,43,2,-0.261331558,-0.179940687,0
1493747480,89,2,-0.025773239,-0.016242429,0
1493749909,44,2,0.021157713,0.031860906,0
1493752029,134,2,-0.11015894,0.102383725,1
1493753555,101,2,-0.095042649,0.15874681,0
1493755892,71,2,-0.063719985,-0.059404087,0
1493758534,138,2,-0.020207216,0.04864557,5
1493799410,43,2,-0.197295382,0.048481867,1
1493800551,9,2,0.11838831,-0.094685096,0
1493800632,114,2,-0.010177916,0.02101509,0
1493800775,99,2,0.000123676,0.052512566,1
1493801347,5,2,0.054552676,0.017708461,0
1493819597,62,2,-0.07066321,-0.211698095,0
1493822880,69,2,-0.111953959,0.009159236,0
1493830768,86,2,0.013730802,-0.115533482,0
1493832272,146,2,-0.069386871,0.14618626,0
1493835795,77,2,0.064000458,-0.096704065,0
1493837657,102,2,0.006279375,0.037540459,2
1493840529,88,2,0.050155759,-0.078422441,0
1493843371,133,2,-0.033076449,0.039509696,0
1493843859,13,2,0.077336115,0.107742641,1
1493888556,133,2,0.018497976,-0.02346323,0
1493889197,5,2,0.080972944,0.26422376,1
1493889650,8,2,0.095168534,-0.124656016,0
1493895211,13,2,0.031760281,0.019387965,0
1493904961,154,2,-0.112334669,-0.102306229,0
1493912073,81,2,-0.002790303,-0.05805814,0
1493917973,110,2,-0.285467391,-0.14120425,0
1493918592,31,2,-0.060711256,0.029104426,0
1493920240,93,2,0.035675178,-0.032839043,1
1493924323,36,2,0.006306324,-0.000409443,1
1493927120,122,2,0.093378459,0.010089316,0
1493928303,150,2,0.073347033,-0.113939621,1
1493929278,20,2,-0.011566127,-0.11009547,0
1493972610,120,2,0.016071404,0.061624075,0
1493973759,45,2,-0.108264144,-0.017235363,0
1493979187,103,2,-0.085266788,0.043663935,1
1493989947,152,2,0.077464057,-0.101697876,0
1493991130,72,2,-0.108322609,-0.162405467,0
1493991417,116,2,0.143723424,0.00569753,1
1493991968,116,2,-0.036049904,0.106678237,0
1493992806,41,2,-0.209514852,-0.007459616,0
1493992987,124,2,-0.030146563,0.24198527,0
1493996129,67,2,-0.020118102,-0.086098982,0
1494001951,17,2,-0.015767694,-0.042537798,3
1494007684,34,2,0.001870948,0.002285879,0
1494009574,85,2,0.111619664,0.101743653,0
1494009656,49,2,0.080226841,0.024226136,0
1494009891,98,2,-0.119359439,0.006530929,1
1494058396,19,2,-0.101788003,0.039650097,0
1494064699,152,2,0.08712584,0.018921587,0
1494064906,49,2,-0.040450392,0.035926765,1
1494075097,92,2,0.022704057,0.112576934,0
1494096238,28,2,0.156931515,-0.001562242,1
1494096508,118,2,-0.006814978,0.098409277,1
1494100450,78,2,0.010345082,0.089816668,0
1494103294,67,2,0.075921837,0.095559156,1
1494147742,24,2,-0.046686163,-0.01106411,1
1494154701,19,2,0.034230413,0.229127095,1
1494162207,93,2,0.047353487,0.089294638,0
1494167723,66,2,-0.042585871,0.051857556,1
1494170923,114,2,0.061136987,0.005473228,1
1494176223,133,2,-0.100674154,-0.064218359,0
1494182538,88,2,0.071970468,0.082610866,0
1494183681,102,2,-0.096181205,0.080779576,0
1494231122,66,2,-0.0306928,-0.099729275,2
1494236315,101,2,0.045390511,0.101319554,0
1494243388,11,2,0.090730427,-0.076867146,0
1494243927,54,2,-0.102538302,0.132453116,2
1494245658,103,2,0.002587044,0.012094606,1
1494247429,74,2,-0.07822409,0.197186871,0
1494247458,28,2,0.111584269,0.086156851,0
1494252420,77,2,-0.021583252,-0.069184304,0
1494252904,120,2,-0.006116099,0.000200342,1
1494256275,15,2,-0.142746936,-0.137584852,1
1494265599,56,2,0.015307581,0.02782884,1
1494265853,127,2,-0.001164347,0.027882094,1
1494272074,104,2,-0.06197417,0.089700775,1
1494272788,145,2,0.154551463,0.093244771,1
1494273450,92,2,-0.138684209,-0.067869561,0
1494273483,97,2,0.035127856,0.081575329,0
1494274742,134,2,0.097702329,0.085932576,1
1494276561,26,2,-0.175113113,0.06108571,0
1494317755,152,2,0.012002469,-0.072314337,0
1494321088,6,2,-0.025096167,-0.023583712,0
1494321911,56,2,-0.148669831,-0.112627058,0
1494322831,59,2,-0.056045183,0.021479949,1
1494323571,24,2,-0.148781733,-0.093438792,1
1494324938,50,2,-0.032794546,-0.020204293,0
1494326681,92,2,0.058342958,0.368324453,0
1494327209,131,2,0.00337489,-0.011547267,0
1494329107,127,2,0.219424898,-0.077717533,0
1494334896,16,2,0.08826328,-0.072013045,0
1494335305,58,2,0.051285727,0.081167685,1
1494337779,90,2,-0.292282256,-0.001446609,0
1494342241,42,2,-0.140530958,0.159325898,0
1494348972,144,2,0.159181479,0.145747365,1
1494362604,133,2,-0.084713582,-0.11953298,1
1494403273,53,2,0.063698115,-0.070531596,2
1494406613,54,2,0.109871922,0.109720063,0
1494420112,10,2,0.003569409,-0.175208155,1
1494421780,44,2,-0.087317077,-0.012090835,1
1494424668,32,2,0.095665472,-0.102950988,1
1494425285,63,2,-0.082206925,-0.240430148,4
1494426242,87,2,0.000861922,0.200655711,1
1494429149,55,2,0.030916064,-0.088115655,0
1494431091,102,2,-0.076062877,-0.007512045,0
1494436519,50,2,-0.025226933,0.135319902,0
1494438505,82,2,-0.064471347,-0.073193,0
1494440950,27,2,0.030509957,0.05319168,2
1494443430,6,2,0.03052831,0.052578651,1
1494448510,48,2,-0.166259581,-0.031977207,0
1494449257,129,2,0.047520745,-0.008276527,0
1494449544,56,2,0.069673421,-0.086099696,0
1494492820,129,2,-0.007495772,-0.013721083,2
1494497317,32,2,0.083805564,-0.084972245,1
1494500364,131,2,0.063256455,-0.053600128,2
1494504666,62,2,-0.084247628,-0.015062736,0
1494505016,118,2,-0.140266758,-0.001140859,0
1494507451,20,2,-0.06570346,0.196931403,0
1494507633,144,2,-0.001110948,-0.050022226,0
1494509387,10,2,0.062634999,-0.085866639,0
1494514326,64,2,-0.030342567,-0.132298873,0
1494514658,122,2,-0.01920975,-0.024597985,0
1494518320,3,2,-0.091306405,0.021077937,2
1494523321,50,2,-0.220989609,-0.011631426,0
1494524262,114,2,0.135129685,0.179018309,0
1494525316,57,2,0.060662091,0.002204167,0
1494526491,122,2,0.118090847,-0.159852463,1
1494528254,42,2,0.159821727,0.105809467,0
1494579719,88,2,0.017970524,0.03138329,0
1494579912,56,2,-0.004803938,-0.109256003,1
1494585359,92,2,0.140260308,0.087405793,0
1494589406,15,2,-0.016156544,0.153297769,0
1494592074,101,2,-0.041138044,-0.064398612,2
1494599648,24,2,0.024983559,0.178876721,0
1494601614,7,2,0.025641502,0.21042521,0
1494602392,138,2,0.00994392,0.056386203,0
1494609790,72,2,0.040067118,-0.016262896,1
1494611210,2,2,0.057200647,0.174701428,0
1494612478,9,2,0.115103089,0.147193006,0
1494614527,4,2,0.104564849,0.082044449,2
1494617295,129,2,0.088913897,-0.04591916,0
1494617660,154,2,0.045944578,-0.025023259,0
1494618493,77,2,-0.073852531,0.151993187,0
1494669177,62,2,0.000797149,0.113405844,1
1494669389,24,2,-0.208965133,-0.026193522,0
1494672880,2,2,-0.037401689,0.102721763,1
1494677868,86,2,-0.005543565,-0.030023256,0
1494678044,62,2,-0.14865661,0.020784625,1
1494685544,62,2,-0.018442756,0.193917901,2
1494686547,59,2,-0.00884295,0.009082782,0
1494687320,76,2,0.007419374,-0.188924948,1
1494707688,71,2,-0.082910358,0.100727272,0
1494749382,55,2,0.093319302,0.052149131,0
1494749675,148,2,-0.027961586,0.035382385,0
1494756417,68,2,-0.038270357,0.071415472,3
1494756450,52,2,-0.06964008,0.057884749,1
1494760661,17,2,0.14113447,0.143204299,5
1494760931,37,2,0.024307835,0.036119562,1
1494763644,126,2,-0.081985843,0.004157525,1
1494766395,145,2,0.0567618,-0.067722498,1
1494768271,40,2,0.190893856,0.031552216,3
1494771808,148,2,0.036057047,0.012807154,0
1494788056,109,2,0.203636036,0.002237798,0
1494794074,5,2,0.074585003,0.063988739,1
1494837561,54,2,-0.054404112,0.003031677,2
1494842129,57,2,0.138471287,0.044794451,0
1494842451,111,2,-0.082691882,0.087834852,2
1494844371,154,2,-0.122086446,-0.213553056,0
1494849750,48,2,-0.025592861,-0.05427519,1
1494856121,27,2,0.036227483,-0.060380022,1
1494861406,80,2,0.095681763,-0.000222588,1
1494863238,35,2,0.071223888,0.124541544,0
1494866005,74,2,0.014686354,-0.010530567,0
1494870256,78,2,-0.000189138,-0.013066795,0
1494880120,54,2,0.042582081,-0.010623133,0
1494881542,44,2,0.03322109,-0.087066717,0
1494923114,107,2,0.094823262,0.036364538,1
1494925339,132,2,0.131967722,0.069795661,0
1494925467,130,2,-0.031739668,0.091754051,1
1494927374,32,2,0.019677425,0.01184045,1
1494929382,121,2,-0.016495203,-0.049077543,0
1494929906,121,2,0.004384359,0.21358051,0
1494935213,36,2,-0.0611956,0.024269466,1
1494938056,58,2,0.02771198,0.05481316,0
1494938344,43,2,0.000927801,0.078965661,3
1494943599,144,2,-0.024815163,-0.085410845,0
1494955657,137,2,-0.050163567,-0.01349906,0
1494957244,31,2,-0.009110163,-0.029418117,1
1494957605,132,2,-0.002947518,0.007913139,1
1494959304,77,2,0.209496902,0.029635881,0
1494963977,114,2,-0.007996994,0.003251476,1
1494964461,129,2,-0.020362922,0.132378113,0
1495009658,86,2,0.004528444,-0.052118387,0
1495020773,56,2,-0.002441366,0.056654901,1
1495027380,29,2,0.163894747,-0.021809174,0
1495029658,143,2,-0.057574101,0.126421304,0
1495030674,151,2,-0.117679463,-0.039460964,0
1495031619,129,2,0.212289389,0.058651896,4
1495034351,88,2,0.038872235,-0.098806576,0
1495036290,131,2,-0.027880274,-0.091905609,0
